Dcc, 10:55:08,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:08,040 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:08,040 	 DEBUG 	 AC 4: added token -> available tokens: 25 		
Dcc, 10:55:08,040 	 DEBUG 	 AC 6: added token -> available tokens: 25 		
Dcc, 10:55:08,040 	 DEBUG 	 AC 0: added token -> available tokens: 25 		
Dcc, 10:55:08,040 	 DEBUG 	 AC 1: added token -> available tokens: 25 		
Dcc, 10:55:09,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:09,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:09,040 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:09,040 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:10,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:10,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:10,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:10,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:10,039 	 DEBUG 	 AC 4: added token -> available tokens: 25 		
Dcc, 10:55:10,039 	 DEBUG 	 AC 6: added token -> available tokens: 25 		
Dcc, 10:55:10,039 	 DEBUG 	 AC 0: added token -> available tokens: 25 		
Dcc, 10:55:10,040 	 DEBUG 	 AC 1: added token -> available tokens: 25 		
Dcc, 10:55:11,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:11,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:11,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:11,039 	 DEBUG 	 dccInfo sent 		
